SourceIP,DestinationIP,SourcePort,DestinationPort,TimeStamp,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeTimeVariance,ResponseTimeTimeStandardDeviation,ResponseTimeTimeMean,ResponseTimeTimeMedian,ResponseTimeTimeMode,ResponseTimeTimeSkewFromMedian,ResponseTimeTimeSkewFromMode,ResponseTimeTimeCoefficientofVariation,DoH
192.168.220.51,139.84.209.249,59168,443,2025-04-29 22:35:51,120.023516,416259,3468.1453591144586,582527,4853.440554099415,3183.953179130063,56.42652903670456,122.46027464443354,136.0,54,-0.7198595547189737,1.213263970213394,0.4607741506422421,1209.219346662482,34.77383134862309,58.018255283472286,57.704668,41.170418,0.0270537301738573,0.4844975842484899,0.5993601699796226,0.0004991253419897,0.0223411132665715,0.0519097869012707,0.0490045,0.046588,0.390126516965188,0.2382059854301724,0.4303834517576229,False
139.84.209.249,192.168.220.51,443,59168,2025-04-29 22:37:51,120.03763,559334,4659.6554763702015,406198,3383.9221917327086,2098.844037957753,45.81314263350368,117.21889037270851,133.0,54,-1.0334005955586143,1.3799291368952238,0.3908341265459558,1183.06099579932,34.395653734146705,59.437931758649995,59.358859,27.193557,0.0068967514844609,0.9374549182252933,0.5786818739557018,3.4743038978e-06,0.0018639484697448,0.0001766873776908,0.000114,0.000129,0.1008944915189369,0.0255840644013781,10.549414984282024,False
139.84.209.249,192.168.220.51,443,59168,2025-04-29 22:39:51,120.0469,502999,4190.0207335632995,366049,3049.2165978463418,2016.894940297732,44.90985348782305,116.54123642215367,134.0,54,-1.166253876729755,1.392594977828446,0.3853559037690627,1071.440225525705,32.73286155418901,55.15293999758616,53.883887,108.414474,0.116309995887642,-1.6271578919013776,0.5934925963261724,7.7952239233e-06,0.0027919928229355,0.0002688357644516,0.000115,0.000117,0.1652967334169937,0.0543825769193786,10.385496247608632,False
139.84.209.249,192.168.220.51,443,59168,2025-04-29 22:41:51,93.803886,418668,4463.226608756912,304024,3241.059757375084,2147.203377248992,46.3379259057739,117.5108943089431,134.0,54,-1.06753412256216,1.3706028715676584,0.3943287656712811,761.552714241968,27.596244567730007,50.074642161626016,52.080435,36.335245,-0.2180506300541503,0.4978719886289288,0.5511021821914884,0.0001627985322268,0.0127592528083286,0.000800977198697,0.000115,0.000116,0.1612893503252704,0.0536847422797319,15.929608020158131,False
139.84.209.249,192.168.220.51,443,59168,2025-04-29 22:43:25,120.120785,499024,4154.351805143465,366657,3052.402629569895,2265.881491240477,47.601276151385655,116.3393361107378,133.0,54,-1.0500136909949551,1.3096148076467722,0.4091589117035729,1248.9574470284765,35.34059205826179,50.40036315992474,44.379083,49.657388,0.5111357628076671,0.0210232799354321,0.7011971708640871,1.8807081212e-05,0.0043367131807483,0.0005249577693557,0.000116,0.000124,0.2829039544310862,0.0924566031103116,8.261070573488048,False
139.84.209.249,192.168.220.51,443,59168,2025-04-29 22:45:25,105.286874,7576,71.95578814506355,4813,45.71320067874748,15967.825813137755,126.3638627659734,110.61607142857144,66.0,66,1.059228574973226,0.353076191657742,1.1423644063111646,943.9597604885283,30.72392814222375,21.605649107142856,9.0013975,14.412351,1.2307265739715971,0.2341269018025446,1.4220321726907235,14.391327030180122,3.793590255968628,1.3016671428571427,0.000132,7.5e-05,1.029263880680876,0.3431029855713302,2.9144088615786563,False
192.168.220.51,139.84.209.249,59235,443,2025-04-29 22:45:39,91.785471,119852,1305.784005836828,154781,1686.3344308599778,3409.149193790207,58.3879199303264,112.87833949856144,99.0,54,0.7130758990107354,1.0083993327527383,0.5172641641408139,651.1404384406524,25.517453604163805,63.48843545540485,73.890594,22.426047,-1.222946306393728,1.6091883262483722,0.4019228607718269,0.0118170571690073,0.1087062885439812,0.0771687595993322,0.051856,0.00136,0.6985638072564029,0.6973723472185411,1.408682595241844,False
192.168.220.51,139.84.209.249,59236,443,2025-04-29 22:45:40,0.145196,2191,15089.947381470563,746,5137.8825862971435,113417.45408163268,336.7750793654909,209.78571428571428,66.0,54,1.280846384684554,0.4625808850798166,1.6053289448814685,0.002173277977801,0.0466184295938958,0.0834453571428571,0.0869405,0.038407,-0.2249202442632586,0.966106270314057,0.5586701428347389,0.0004783831245,0.0218719712074609,0.035962,0.043076,6.4e-05,-0.9757693898536156,1.64127867851959,0.6081967412118606,False
192.168.220.51,139.84.209.249,59235,443,2025-04-29 22:47:11,120.052374,400716,3337.8431983360865,507866,4230.370321539831,2397.8564145169667,48.96791209064326,116.27617097517276,99.0,54,1.0584178641225266,1.2717750934508891,0.4211345427009191,1241.0950634860617,35.22917914862709,60.071642140133086,61.300557,70.913462,-0.1046503117216227,-0.3077511347660627,0.5864527403203936,0.0008689074193853,0.0294772356130177,0.0519482753195673,0.050704,0.046493,0.126634193508077,0.1850673988288848,0.5674343456386995,False
192.168.220.51,139.84.209.249,59168,443,2025-04-29 22:47:25,105.187564,808,7.681516419564579,852,8.099816818649778,301.1388888888889,17.35335382250039,69.16666666666667,60.5,54,1.498269456494823,0.8739905162886463,0.2508918624939815,1178.2285268831645,34.32533360192096,55.07612008333333,52.571781,15.010024,0.2188767438397028,1.1672456427660505,0.623234417202678,0.0001093668581875,0.0104578610713424,0.04694875,0.0462425,0.032869,0.2025987900915975,1.3463317119963043,0.2227505752835263,False
